NAME,KIND,TYPE,NUMBER
void,local,var,1
main,local,var,2
var,local,var,3
Array,local,var,4
a,local,var,5
int,local,var,6
length,local,var,7
i,local,var,8
sum,local,var,9
let,local,var,10
Keyboard,local,var,11
readInt,local,var,12
"""",local,var,13
HOW,local,var,14
MANY,local,var,15
NUMBERS,local,var,16
new,local,var,17
0,local,var,18
while,local,var,19
ENTER,local,var,20
THE,local,var,21
NEXT,local,var,22
NUMBER,local,var,23
1,local,var,24
do,local,var,25
Output,local,var,26
printString,local,var,27
AVERAGE,local,var,28
IS,local,var,29
printInt,local,var,30
println,local,var,31
return,local,var,32
